dataset,seed,policy,budget,accuracy,cross_entropy,predictor_val_acc_random_masks,predictor_val_loss_random_masks,n_train,n_val,n_test,n_features,n_classes
fashion_mnist_selected,7,random,1,0.18349,2.0944709252929687,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,global_mi,1,0.1838,1.9591131103515624,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,myopic_q,1,0.1838,1.9591131103515624,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,learned_briga,1,0.1838,1.9591131103515624,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,random,2,0.27296,1.896325708007812,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,global_mi,2,0.2739,1.7593984375,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,myopic_q,2,0.2631,1.8133002685546875,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,learned_briga,2,0.3064,1.70565673828125,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,random,4,0.4232600000000001,1.5725287231445313,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,global_mi,4,0.3929,1.4831415283203124,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,myopic_q,4,0.3766,1.5487044189453123,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,learned_briga,4,0.483,1.371978125,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,random,8,0.58084,1.1720130078125,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,global_mi,8,0.5525,1.152483935546875,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,myopic_q,8,0.5714,1.166954345703125,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,learned_briga,8,0.6146,1.04844423828125,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,random,12,0.6532899999999999,0.979470233154297,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,global_mi,12,0.6495,0.957149462890625,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,myopic_q,12,0.6491,0.9586821411132812,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,learned_briga,12,0.6723,0.9238970581054688,0.5751,1.1875017333984377,50000,10000,10000,20,10
